time,zone1,zone2,zone3,zone4
24-05-11 18:38.23,332,288,331,277
24-05-11 18:38.38,344,329,332,295
24-05-11 18:38.54,277,513,277,342
24-05-11 18:39.09,406,311,396,277
24-05-11 18:39.25,309,430,300,321
24-05-11 18:39.57,338,301,329,288
24-05-11 18:40.12,310,288,349,277
24-05-11 18:40.28,283,363,291,277
24-05-11 18:40.43,329,368,309,313
24-05-11 18:40.59,299,316,328,277
24-05-11 18:41.31,435,289,338,277
24-05-11 18:41.46,282,535,277,341
24-05-11 18:42.18,299,418,283,344
24-05-11 18:42.34,330,289,334,277
24-05-11 18:42.49,277,499,277,341
24-05-11 18:43.21,310,288,338,277
24-05-11 18:43.37,341,354,316,307
24-05-11 18:44.09,300,311,358,277
24-05-11 18:44.24,374,288,337,277
24-05-11 18:44.40,359,288,338,288
24-05-11 18:44.55,282,490,277,391
24-05-11 18:45.27,285,320,333,277
24-05-11 18:45.59,266,528,277,343
24-05-11 18:46.15,277,427,277,338
24-05-11 18:46.30,332,334,333,294
24-05-11 18:47.02,315,283,334,277
24-05-11 18:47.18,382,347,321,307
24-05-11 18:47.33,277,457,277,317
24-05-11 18:48.05,277,427,283,348
24-05-11 18:48.21,309,283,335,277
24-05-11 18:48.36,277,434,277,283
24-05-11 18:48.52,358,377,306,317
24-05-11 18:49.07,346,283,339,277
24-05-11 18:49.39,402,283,512,277
24-05-11 18:49.55,323,322,508,277
24-05-11 18:50.27,368,372,299,318
24-05-11 18:50.42,309,411,299,324
24-05-11 18:50.58,352,346,316,309
24-05-11 18:51.13,363,372,299,317
24-05-11 18:51.29,277,429,277,342
24-05-11 18:51.44,277,451,277,529
24-05-11 18:52.00,376,347,316,307
24-05-11 18:52.15,378,277,340,277
24-05-11 18:52.31,397,283,335,277
24-05-11 18:52.46,298,311,344,277
24-05-11 18:53.02,277,513,277,342
24-05-11 18:53.17,277,496,277,342
24-05-11 18:53.49,294,311,355,277
24-05-11 18:54.05,300,283,340,277
24-05-11 18:54.20,374,277,520,282
24-05-11 18:54.36,293,430,277,341
24-05-11 18:54.51,277,524,277,342
24-05-11 18:55.07,277,506,277,346
24-05-11 18:55.22,483,283,341,277
24-05-11 18:55.38,277,433,277,343
24-05-11 18:55.53,277,421,283,283
24-05-11 18:56.09,440,283,340,277
24-05-11 18:56.41,341,346,316,307
24-05-11 18:56.56,373,304,327,283
24-05-11 18:57.12,364,277,518,277
24-05-11 18:57.27,345,305,328,288
24-05-11 18:57.43,362,294,336,283
24-05-11 18:57.58,334,293,336,288
24-05-11 18:58.14,442,312,330,277
24-05-11 18:58.46,293,302,328,277
24-05-11 18:59.01,396,277,513,283
24-05-11 18:59.17,283,487,277,339
24-05-11 18:59.32,462,288,337,277
24-05-11 18:59.48,293,440,277,338
24-05-11 19:00.03,277,484,277,340
24-05-11 19:00.19,364,316,502,277
24-05-11 19:00.34,398,283,338,277
24-05-11 19:00.50,309,283,518,277
24-05-11 19:01.05,385,283,512,283
24-05-11 19:01.21,329,326,329,295
24-05-11 19:01.36,277,501,277,340
24-05-11 19:01.52,266,498,277,335
24-05-11 19:02.07,283,333,309,277
24-05-11 19:02.23,315,283,334,277
24-05-11 19:02.38,325,372,299,318
24-05-11 19:02.54,283,327,308,277
24-05-11 19:03.26,336,304,329,288
24-05-11 19:03.41,277,528,277,343
24-05-11 19:04.13,358,316,382,277
24-05-11 19:04.29,315,283,336,277
24-05-11 19:04.44,384,294,336,283
24-05-11 19:05.00,356,300,330,289
24-05-11 19:05.15,309,411,292,332
24-05-11 19:05.31,277,504,277,340
24-05-11 19:05.46,445,312,513,277
24-05-11 19:06.02,368,288,343,282
24-05-11 19:06.34,391,277,339,277
24-05-11 19:06.49,277,517,283,337
24-05-11 19:07.05,380,304,331,283
24-05-11 19:07.20,348,283,517,283
24-05-11 19:07.36,315,311,371,277
24-05-11 19:07.51,369,371,299,318
24-05-11 19:08.07,299,305,336,277
24-05-11 19:08.22,277,482,277,342
24-05-11 19:08.38,357,353,316,308
24-05-11 19:08.53,374,277,516,277
24-05-11 19:09.09,360,314,338,277
24-05-11 19:09.24,277,447,277,343
24-05-11 19:09.40,394,277,523,282
24-05-11 19:10.12,277,506,277,344
24-05-11 19:10.27,359,376,306,309
24-05-11 19:10.43,370,303,330,289
24-05-11 19:10.58,344,283,333,277
24-05-11 19:11.14,293,309,333,277
24-05-11 19:11.29,385,283,334,277
24-05-11 19:11.45,385,305,385,277
24-05-11 19:12.00,302,305,368,277
24-05-11 19:12.16,277,503,277,340
24-05-11 19:12.31,283,447,277,283
24-05-11 19:13.36,299,311,336,277
24-05-11 19:13.52,383,277,338,277
24-05-11 19:14.07,293,420,283,341
24-05-11 19:14.39,340,346,316,313
24-05-11 19:14.55,379,283,345,283
24-05-11 19:15.10,484,283,502,277
24-05-11 19:15.42,277,483,277,347
24-05-11 19:15.58,343,369,299,319
24-05-11 19:16.13,342,326,329,289
24-05-11 19:16.29,356,277,341,277
24-05-11 19:16.44,335,283,341,277
24-05-11 19:17.00,367,321,338,277
24-05-11 19:17.15,291,321,328,282
24-05-11 19:17.31,282,443,277,316
24-05-11 19:17.46,277,465,277,344
24-05-11 19:18.02,367,328,314,311
24-05-11 19:18.34,309,413,293,323
24-05-11 19:18.49,368,367,299,320
24-05-11 19:19.05,277,537,277,342
24-05-11 19:19.20,440,310,330,277
24-05-11 19:19.36,390,277,521,283
24-05-11 19:19.51,309,433,292,326
24-05-11 19:20.07,277,486,277,343
24-05-11 19:20.22,344,316,508,277
24-05-11 19:20.38,344,318,337,289
24-05-11 19:20.53,277,491,277,342
24-05-11 19:21.09,293,320,327,277
24-05-11 19:21.24,401,277,516,277
24-05-11 19:21.40,277,512,277,343
24-05-11 19:21.55,336,305,361,277
24-05-11 19:22.11,349,272,348,277
24-05-11 19:22.26,348,304,336,277
24-05-11 19:22.42,328,305,371,277
24-05-11 19:22.57,283,433,277,272
24-05-11 19:23.13,293,437,277,341
24-05-11 19:23.28,341,324,328,290
24-05-11 19:23.44,369,286,349,282
24-05-11 19:24.16,361,305,369,277
24-05-11 19:24.31,302,282,343,277
24-05-11 19:24.47,405,283,338,277
24-05-11 19:25.02,309,277,338,277
24-05-11 19:25.18,347,291,338,282
24-05-11 19:25.33,277,523,283,342
24-05-11 19:26.05,344,282,345,277
24-05-11 19:26.21,309,282,342,266
24-05-11 19:26.36,365,302,329,288
24-05-11 19:26.52,277,499,277,344
24-05-11 19:27.07,283,416,277,277
24-05-11 19:27.23,299,289,336,277
24-05-11 19:27.38,393,277,523,277
24-05-11 19:27.54,361,324,326,291
24-05-11 19:28.10,379,326,326,296
24-05-11 19:28.25,293,437,277,336
24-05-11 19:28.41,288,321,331,283
24-05-11 19:28.56,299,277,341,277
24-05-11 19:30.01,289,328,319,277
24-05-11 19:30.17,367,283,338,277
24-05-11 19:30.49,343,329,323,307
24-05-11 19:31.04,277,429,277,341
24-05-11 19:31.20,277,502,277,344
24-05-11 19:31.35,277,530,283,342
24-05-11 19:31.51,283,345,299,283
24-05-11 19:32.06,383,283,336,277
24-05-11 19:32.38,277,427,277,342
24-05-11 19:32.54,283,442,277,283
24-05-11 19:33.09,293,305,337,277
24-05-11 19:33.25,341,283,341,283
24-05-11 19:33.40,277,496,282,345
24-05-11 19:33.56,310,283,345,277
24-05-11 19:34.11,277,477,277,317
24-05-11 19:34.27,375,286,338,288
24-05-11 19:34.42,277,497,277,337
24-05-11 19:34.58,440,304,336,277
24-05-11 19:35.13,351,277,345,277
24-05-11 19:35.29,282,504,277,344
24-05-11 19:35.44,283,438,277,283
24-05-11 19:36.00,283,347,303,277
24-05-11 19:36.32,277,483,277,341
24-05-11 19:36.47,379,306,336,277
24-05-11 19:37.19,277,502,277,344
24-05-11 19:37.35,362,277,345,277
24-05-11 19:37.50,277,510,277,343
24-05-11 19:38.06,451,277,344,277
24-05-11 19:38.38,422,305,339,277
24-05-11 19:38.53,376,277,351,277
24-05-11 19:39.09,383,320,327,297
24-05-11 19:39.24,277,467,277,336
24-05-11 19:39.40,473,303,340,277
24-05-11 19:39.55,395,277,343,277
24-05-11 19:40.11,277,491,277,344
24-05-11 19:40.26,382,301,339,277
24-05-11 19:40.42,343,318,327,295
24-05-11 19:40.57,277,481,277,360
24-05-11 19:41.13,317,304,342,277
24-05-11 19:41.28,351,277,342,277
24-05-11 19:42.00,327,277,346,277
24-05-11 19:42.16,309,415,294,329
24-05-11 19:42.31,283,448,282,283
24-05-11 19:42.47,315,277,343,277
24-05-11 19:43.02,277,511,277,345
24-05-11 19:43.18,325,277,337,277
24-05-11 19:43.33,351,343,316,319
24-05-11 19:44.05,283,442,277,283
24-05-11 19:44.21,349,319,328,297
24-05-11 19:44.36,421,300,339,277
24-05-11 19:44.52,390,286,340,294
24-05-11 19:45.07,277,431,277,347
24-05-11 19:45.23,293,429,277,345
24-05-11 19:45.38,396,291,338,283
24-05-11 19:45.54,309,414,296,332
24-05-11 19:46.09,277,476,277,345
24-05-11 19:46.41,362,277,341,277
24-05-11 19:46.57,310,277,340,277
24-05-11 19:47.12,299,317,333,277
24-05-11 19:47.28,294,307,370,277
24-05-11 19:48.16,277,510,277,344
24-05-11 19:48.32,277,472,277,342
24-05-11 19:48.47,290,326,334,277
24-05-11 19:49.03,299,282,351,277
24-05-11 19:49.18,310,277,344,277
24-05-11 19:49.34,349,283,346,282
24-05-11 19:49.49,277,475,277,346
24-05-11 19:50.05,444,302,337,277
24-05-11 19:50.20,364,317,325,298
24-05-11 19:50.36,295,305,370,277
24-05-11 19:50.51,349,305,331,294
24-05-11 19:51.07,277,480,277,340
24-05-11 19:51.39,277,525,277,357
24-05-11 19:51.54,299,285,342,277
24-05-11 19:52.10,277,499,277,347
24-05-11 19:52.25,407,277,344,277
24-05-11 19:52.41,277,526,277,349
24-05-11 19:52.56,299,282,344,277
24-05-11 19:53.12,309,418,294,332
24-05-11 19:53.27,299,311,337,277
24-05-11 19:53.43,392,305,334,289
24-05-11 19:53.58,277,486,277,340
24-05-11 19:54.14,367,277,344,266
24-05-11 19:54.46,409,277,343,277
24-05-11 19:55.01,277,509,282,341
24-05-11 19:55.17,310,277,344,283
24-05-11 19:55.32,277,477,277,342
24-05-11 19:55.48,373,277,350,277
24-05-11 19:56.03,395,307,333,277
24-05-11 19:56.19,400,298,338,288
24-05-11 19:56.34,431,307,337,277
24-05-11 19:56.50,277,481,277,351
24-05-11 19:57.05,371,285,339,288
24-05-11 19:57.21,404,277,343,277
24-05-11 19:57.53,277,457,283,350
24-05-11 19:58.08,330,277,344,277
24-05-11 19:58.24,289,315,336,277
24-05-11 19:58.39,277,475,277,401
24-05-11 19:58.55,444,277,344,277
24-05-11 19:59.10,284,415,277,348
24-05-11 19:59.26,474,289,339,277
24-05-11 19:59.41,389,297,336,288
24-05-11 20:00.13,315,277,346,266
24-05-11 20:00.29,399,277,337,277
24-05-11 20:01.17,388,277,345,277
24-05-11 20:01.33,311,299,384,277
24-05-11 20:02.05,277,440,277,316
24-05-11 20:02.20,453,277,342,277
24-05-11 20:02.36,277,476,277,345
24-05-11 20:02.51,309,277,342,277
24-05-11 20:03.07,277,474,277,346
24-05-11 20:03.22,355,341,316,315
24-05-11 20:03.38,299,283,352,277
24-05-11 20:03.53,277,476,277,355
24-05-11 20:04.09,347,277,340,277
24-05-11 20:04.24,367,342,316,316
24-05-11 20:04.40,383,277,339,277
24-05-11 20:05.12,356,319,347,294
24-05-11 20:05.27,448,297,339,283
24-05-11 20:05.43,277,448,277,316
24-05-11 20:05.58,277,439,277,348
24-05-11 20:06.14,359,277,343,277
24-05-11 20:06.29,319,277,344,277
24-05-11 20:06.45,370,284,338,288
24-05-11 20:07.00,277,522,283,351
24-05-11 20:07.16,289,437,277,283
24-05-11 20:07.31,331,277,345,277
24-05-11 20:07.47,315,277,346,277
24-05-11 20:08.02,345,277,347,277
24-05-11 20:08.18,359,319,350,294
24-05-11 20:08.33,277,442,277,316
24-05-11 20:08.49,302,277,347,277
24-05-11 20:09.04,317,277,340,277
24-05-11 20:09.20,335,362,313,318
24-05-11 20:09.35,277,444,277,316
24-05-11 20:09.51,435,277,346,277
24-05-11 20:10.06,309,429,294,332
24-05-11 20:10.22,282,423,277,298
24-05-11 20:10.37,402,277,342,277
24-05-11 20:10.53,388,277,348,283
24-05-11 20:11.25,405,277,345,277
24-05-11 20:11.40,277,514,277,357
24-05-11 20:11.56,310,277,344,277
24-05-11 20:12.28,290,300,360,277
24-05-11 20:12.43,370,277,354,277
24-05-11 20:12.59,277,437,277,351
24-05-11 20:13.14,277,435,277,316
24-05-11 20:13.30,329,277,344,277
24-05-11 20:13.45,375,317,323,301
24-05-11 20:14.01,277,477,277,345
24-05-11 20:14.33,362,277,349,277
24-05-11 20:14.48,277,481,277,351
24-05-11 20:15.04,277,471,277,339
24-05-11 20:15.19,299,298,346,277
24-05-11 20:15.35,344,316,326,298
24-05-11 20:15.50,277,495,277,344
24-05-11 20:16.06,277,499,277,352
24-05-11 20:16.21,293,319,337,283
24-05-11 20:16.37,312,299,365,277
24-05-11 20:16.52,289,330,315,277
24-05-11 20:17.08,311,299,390,277
24-05-11 20:17.23,406,277,346,277
24-05-11 20:17.39,402,277,345,277
24-05-11 20:17.54,332,277,341,277
24-05-11 20:18.10,457,277,345,277
24-05-11 20:18.25,474,295,340,277
24-05-11 20:18.41,277,466,277,315
24-05-11 20:19.13,373,341,316,315
24-05-11 20:19.28,391,277,344,277
24-05-11 20:19.44,378,285,338,288
24-05-11 20:19.59,353,320,328,296
24-05-11 20:20.15,449,277,344,277
24-05-11 20:20.30,315,277,348,277
24-05-11 20:20.46,409,277,341,277
24-05-11 20:21.01,283,327,312,277
24-05-11 20:21.17,293,426,277,343
24-05-11 20:21.32,370,277,345,283
24-05-11 20:21.48,463,277,341,277
24-05-11 20:22.03,351,277,342,277
24-05-11 20:22.19,282,473,277,338
24-05-11 20:22.34,367,282,345,277
24-05-11 20:22.50,348,277,341,283
24-05-11 20:23.05,299,298,337,277
24-05-11 20:23.21,318,277,345,277
24-05-11 20:23.36,473,296,337,277
24-05-11 20:23.52,333,318,337,277
24-05-11 20:24.07,277,474,277,316
24-05-11 20:24.23,293,413,283,344
24-05-11 20:24.38,378,285,342,288
24-05-11 20:24.54,359,298,335,288
24-05-11 20:25.09,373,362,299,327
24-05-11 20:25.25,277,469,277,352
24-05-11 20:25.40,277,500,277,349
24-05-11 20:25.56,277,455,277,335
24-05-11 20:26.11,277,463,277,333
24-05-11 20:26.27,277,512,277,341
24-05-11 20:26.42,448,296,335,277
24-05-11 20:26.58,310,277,346,277
24-05-11 20:27.13,343,297,331,289
24-05-11 20:27.29,277,458,277,335
24-05-11 20:27.44,331,299,385,277
24-05-11 20:28.00,337,283,343,277
24-05-11 20:28.15,309,422,292,333
24-05-11 20:28.31,277,468,277,336
24-05-11 20:28.46,301,299,366,277
24-05-11 20:29.02,449,296,341,277
24-05-11 20:29.17,389,277,345,277
24-05-11 20:29.33,309,421,283,335
24-05-11 20:29.48,277,490,277,340
24-05-11 20:30.04,300,277,356,277
24-05-11 20:30.19,386,277,346,283
24-05-11 20:30.35,277,494,277,353
24-05-11 20:30.50,338,303,343,277
24-05-11 20:31.06,350,277,342,277
24-05-11 20:31.21,376,284,338,283
24-05-11 20:31.37,277,468,277,345
24-05-11 20:32.09,299,287,340,277
24-05-11 20:32.24,429,277,348,277
24-05-11 20:32.40,354,277,345,277
24-05-11 20:32.55,338,340,316,318
24-05-11 20:33.11,277,512,277,351
24-05-11 20:33.26,277,446,277,315
24-05-11 20:33.42,428,295,342,277
24-05-11 20:33.57,407,277,346,277
24-05-11 20:34.29,377,277,344,277
24-05-11 20:34.45,309,442,284,336
24-05-11 20:35.00,344,284,339,283
24-05-11 20:35.16,472,277,344,277
24-05-11 20:35.31,404,297,337,277
24-05-11 20:35.47,294,307,342,277
24-05-11 20:36.02,342,310,338,277
24-05-11 20:36.34,277,493,277,341
24-05-11 20:36.50,277,452,277,349
24-05-11 20:37.05,329,340,321,309
24-05-11 20:37.21,405,277,346,277
24-05-11 20:37.36,361,284,340,294
24-05-11 20:38.08,337,296,335,288
24-05-11 20:38.24,277,437,282,351
24-05-11 20:38.39,277,518,277,353
24-05-11 20:38.55,277,402,277,298
24-05-11 20:39.10,283,338,305,277
24-05-11 20:39.26,289,310,346,277
24-05-11 20:39.41,277,457,277,346
24-05-11 20:39.57,372,295,337,288
24-05-11 20:40.12,401,277,346,277
24-05-11 20:40.28,371,277,346,283
24-05-11 20:40.43,310,277,357,277
24-05-11 20:40.59,330,277,349,277
24-05-11 20:41.14,397,277,345,277
24-05-11 20:41.30,384,277,342,283
24-05-11 20:41.45,315,277,344,277
24-05-11 20:42.01,391,315,325,300
24-05-11 20:42.16,277,468,283,346
24-05-11 20:42.32,282,428,277,289
24-05-11 20:42.47,299,300,341,277
24-05-11 20:43.03,367,277,345,277
24-05-11 20:43.18,380,277,346,282
24-05-11 20:43.34,409,277,346,277
24-05-11 20:43.49,293,419,277,349
24-05-11 20:44.05,371,282,347,277
24-05-11 20:44.20,363,277,352,277
24-05-11 20:44.36,299,301,345,277
24-05-11 20:44.51,309,293,387,277
24-05-11 20:45.07,277,512,277,349
24-05-11 20:45.22,292,320,335,277
24-05-11 20:45.38,390,277,344,277
24-05-11 20:45.53,277,503,277,357
24-05-11 20:46.09,360,301,341,277
24-05-11 20:46.24,293,302,341,277
24-05-11 20:46.40,368,277,350,277
24-05-11 20:46.55,378,315,327,296
24-05-11 20:47.11,315,398,299,344
24-05-11 20:47.26,282,502,277,352
24-05-11 20:47.42,277,455,282,316
24-05-11 20:47.57,304,293,391,277
24-05-11 20:48.13,420,299,341,277
24-05-11 20:48.28,296,299,379,277
24-05-11 20:48.44,365,304,340,277
24-05-11 20:48.59,277,503,283,350
24-05-11 20:49.15,299,393,283,345
24-05-11 20:49.30,364,339,316,314
24-05-11 20:49.46,370,344,316,309
24-05-11 20:50.01,359,341,316,314
24-05-11 20:50.17,315,277,344,277
24-05-11 20:50.32,360,299,339,277
24-05-11 20:50.48,277,476,277,337
24-05-11 20:51.03,335,355,299,323
24-05-11 20:51.35,363,301,341,277
24-05-11 20:51.51,344,309,335,277
24-05-11 20:52.06,277,442,277,316
24-05-11 20:52.22,277,476,277,351
24-05-11 20:52.37,293,415,277,344
24-05-11 20:52.53,370,284,339,288
24-05-11 20:53.08,381,277,344,277
24-05-11 20:53.24,283,415,277,292
24-05-11 20:53.39,309,423,291,334
24-05-11 20:53.55,359,277,347,277
24-05-11 20:54.10,309,277,343,277
24-05-11 20:54.26,396,277,345,277
24-05-11 20:54.41,317,277,343,277
24-05-11 20:54.57,314,277,341,277
24-05-11 20:55.12,293,299,372,277
24-05-11 20:55.28,283,442,277,283
24-05-11 20:55.43,299,299,341,277
24-05-11 20:55.59,402,297,358,277
24-05-11 20:56.14,277,454,282,316
24-05-11 20:56.46,293,299,379,277
24-05-11 20:57.02,299,286,339,283
24-05-11 20:57.17,393,297,346,282
24-05-11 20:57.33,413,277,342,277
24-05-11 20:57.48,397,277,347,283
24-05-11 20:58.04,355,353,299,331
24-05-11 20:58.19,309,429,292,332
24-05-11 20:58.35,277,452,277,349
24-05-11 20:58.50,276,510,277,355
24-05-11 20:59.06,277,517,277,355
24-05-11 20:59.21,277,482,277,344
24-05-11 20:59.37,312,301,355,277
24-05-11 20:59.52,367,277,341,277
24-05-11 21:00.08,309,277,338,277
24-05-11 21:00.23,277,495,277,355
24-05-11 21:00.39,483,277,346,277
24-05-11 21:01.11,315,277,356,277
24-05-11 21:01.26,403,294,338,277
24-05-11 21:01.42,277,504,277,352
24-05-11 21:01.57,342,282,346,283
24-05-11 21:02.13,478,277,345,277
24-05-11 21:02.28,322,299,389,277
24-05-11 21:02.44,277,479,277,343
24-05-11 21:02.59,309,421,293,333
24-05-11 21:03.15,378,277,348,282
24-05-11 21:03.30,408,277,344,277
24-05-11 21:03.46,299,294,340,277
24-05-11 21:04.01,294,307,353,283
24-05-11 21:04.17,309,426,294,331
24-05-11 21:04.32,310,277,349,277
24-05-11 21:04.48,293,413,283,340
24-05-11 21:05.03,277,432,277,316
24-05-11 21:05.19,395,295,363,277
24-05-11 21:05.34,376,277,347,283
24-05-11 21:05.50,293,421,277,344
24-05-11 21:06.05,277,441,277,346
24-05-11 21:06.21,299,444,277,354
